Dataglove Experiment Tue Sep 25 17:00:17 2018
USB0 DG5U_Right RightHand	1

event	var	l_thumb	l_index	l_middle	l_ring	l_little	r_thumb	r_index	r_middle	r_ring	r_little	time
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	400061
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	400081
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	400101
glove	1	0	0	0	0	0	3676	3915	4065	3722	3659	400121
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	400141
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	400161
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	400181
glove	1	0	0	0	0	0	3677	3914	4065	3722	3660	400201
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	400221
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	400241
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	400261
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	400281
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	400301
glove	1	0	0	0	0	0	3675	3915	4065	3723	3659	400321
glove	1	0	0	0	0	0	3675	3915	4065	3723	3659	400341
glove	1	0	0	0	0	0	3675	3915	4065	3723	3659	400361
glove	1	0	0	0	0	0	3674	3915	4065	3723	3659	400381
glove	1	0	0	0	0	0	3674	3915	4065	3724	3659	400401
glove	1	0	0	0	0	0	3674	3915	4065	3725	3659	400421
glove	1	0	0	0	0	0	3673	3916	4065	3727	3659	400441
glove	1	0	0	0	0	0	3673	3917	4065	3728	3660	400461
glove	1	0	0	0	0	0	3673	3918	4065	3729	3660	400481
glove	1	0	0	0	0	0	3673	3919	4065	3732	3661	400501
glove	1	0	0	0	0	0	3673	3919	4065	3735	3662	400521
glove	1	0	0	0	0	0	3672	3920	4065	3737	3663	400541
glove	1	0	0	0	0	0	3671	3921	4066	3745	3664	400561
glove	1	0	0	0	0	0	3671	3923	4066	3751	3664	400581
glove	1	0	0	0	0	0	3671	3925	4066	3759	3664	400601
glove	1	0	0	0	0	0	3670	3926	4066	3762	3664	400621
glove	1	0	0	0	0	0	3669	3927	4066	3761	3663	400641
glove	1	0	0	0	0	0	3669	3929	4067	3758	3662	400661
glove	1	0	0	0	0	0	3667	3935	4067	3751	3659	400681
